ds,yhat
2025-02-26 09:30:00,1.117582106873324
2025-02-26 10:00:00,0.9704830252454735
2025-02-26 10:30:00,0.8702718893674342
2025-02-26 11:00:00,0.8419257854445492
2025-02-26 11:30:00,0.8872370005972657
2025-02-26 12:00:00,0.9857354561608176
2025-02-26 12:30:00,1.1018950624994133
2025-02-26 13:00:00,1.196417029714341
2025-02-26 13:30:00,1.2382912100560708
2025-02-26 14:00:00,1.2141703751031767
2025-02-26 14:30:00,1.1323895642708286
2025-02-26 15:00:00,1.020497490682652
2025-02-26 15:30:00,0.9170126314536159
2025-02-26 16:00:00,0.8597619703517806
2025-02-26 16:30:00,0.8741495153742709
2025-02-26 17:00:00,0.9647584585854518
2025-02-26 17:30:00,1.1127943274803258
2025-02-26 18:00:00,1.2802676545609677
2025-02-26 18:30:00,1.4199316411300995
2025-02-26 19:00:00,1.4883497316370473
2025-02-26 19:30:00,1.4585249801097226
2025-02-26 20:00:00,1.328546611585748
2025-02-26 20:30:00,1.123707688366986
2025-02-26 21:00:00,0.8912645699879489
2025-02-26 21:30:00,0.6889891666643402
2025-02-26 22:00:00,0.5703770799787716
2025-02-26 22:30:00,0.5703524867158891
2025-02-26 23:00:00,0.6952795743191117
2025-02-26 23:30:00,0.9200430978795302
2025-02-27 00:00:00,1.1931612773812201
2025-02-27 00:30:00,1.4488101225596377
2025-02-27 01:00:00,1.6228169814409223
2025-02-27 01:30:00,1.6686055346560942
2025-02-27 02:00:00,1.5690341370070713
2025-02-27 02:30:00,1.3410828024859518
2025-02-27 03:00:00,1.032152541259426
2025-02-27 03:30:00,0.7088757101934573
2025-02-27 04:00:00,0.4412423983877276
2025-02-27 04:30:00,0.28603000536268186
2025-02-27 05:00:00,0.27367547844457596
2025-02-27 05:30:00,0.4018167546537055
2025-02-27 06:00:00,0.6369952472487687
2025-02-27 06:30:00,0.92391197349028
2025-02-27 07:00:00,1.1997157592732526
2025-02-27 07:30:00,1.4095695665334107
2025-02-27 08:00:00,1.519503448462748
2025-02-27 08:30:00,1.5233681118508653
2025-02-27 09:00:00,1.4423242325079262
2025-02-27 09:30:00,1.3172993331126763
2025-02-27 10:00:00,1.1966819568272091
2025-02-27 10:30:00,1.1227167761981554
2025-02-27 11:00:00,1.1203067811427407
2025-02-27 11:30:00,1.1911707600327481
2025-02-27 12:00:00,1.3147659575924466
2025-02-27 12:30:00,1.4554946523534185
2025-02-27 13:00:00,1.5739876870251917
2025-02-27 13:30:00,1.6391660269388593
2025-02-27 14:00:00,1.6376152492684635
2025-02-27 14:30:00,1.5776050985105643
2025-02-27 15:00:00,1.4866210939576234
2025-02-27 15:30:00,1.4031208153157189
2025-02-27 16:00:00,1.3648728339921146
2025-02-27 16:30:00,1.3972254119629248
2025-02-27 17:00:00,1.504708834974019
2025-02-27 17:30:00,1.6684787287666731
2025-02-27 18:00:00,1.8504988845076586
2025-02-27 18:30:00,2.0034790691249857
2025-02-27 19:00:00,2.0839427361395346
2025-02-27 19:30:00,2.0648565180875713
2025-02-27 20:00:00,1.944276903548239
2025-02-27 20:30:00,1.7474680074595983
2025-02-27 21:00:00,1.5216611240790436
2025-02-27 21:30:00,1.3246070612000955
2025-02-27 22:00:00,1.2097843501269105
2025-02-27 22:30:00,1.212104186200322
2025-02-27 23:00:00,1.3379219086061738
2025-02-27 23:30:00,1.5621175892386856
2025-02-28 00:00:00,1.8332089490642696
2025-02-28 00:30:00,2.085375689429201
2025-02-28 01:00:00,2.254453034113066
2025-02-28 01:30:00,2.2938767048171425
2025-02-28 02:00:00,2.1865212306367408
2025-02-28 02:30:00,1.9493868889175925
2025-02-28 03:00:00,1.6298989851209087
2025-02-28 03:30:00,1.2947181343371448
2025-02-28 04:00:00,1.013866565539447
2025-02-28 04:30:00,0.8441576064010339
2025-02-28 05:00:00,0.8160678162440421
2025-02-28 05:30:00,0.9272783116769989
2025-02-28 06:00:00,1.1443771265007192
2025-02-28 06:30:00,1.4121152018007017
2025-02-28 07:00:00,1.6676944432776095
2025-02-28 07:30:00,1.8563338915384457
2025-02-28 08:00:00,1.9441225107064088
2025-02-28 08:30:00,1.924972576144607
2025-02-28 09:00:00,1.8201088065011934
2025-02-28 09:30:00,1.670525051084807
2025-02-28 10:00:00,1.5246782657413234
2025-02-28 10:30:00,1.4248834178057632
2025-02-28 11:00:00,1.3961154643081408
2025-02-28 11:30:00,1.440166618282414
2025-02-28 12:00:00,1.5365687873326195
2025-02-28 12:30:00,1.6497999280621571
2025-02-28 13:00:00,1.7405673503372632
2025-02-28 13:30:00,1.7778690472477954
2025-02-28 14:00:00,1.7483679541215187
2025-02-28 14:30:00,1.6604112728767157
2025-02-28 15:00:00,1.5415618480788207
2025-02-28 15:30:00,1.430354221638115
2025-02-28 16:00:00,1.3646333342459862
2025-02-28 16:30:00,1.3698229963291362
2025-02-28 17:00:00,1.450527995929088
2025-02-28 17:30:00,1.5879771928093724
2025-02-28 18:00:00,1.7442061257472923
2025-02-28 18:30:00,1.8719946093177033
2025-02-28 19:00:00,1.9279342364638044
2025-02-28 19:30:00,1.8850576685956901
2025-02-28 20:00:00,1.7414851167653105
2025-02-28 20:30:00,1.522541923245166
2025-02-28 21:00:00,1.2755179336653757
2025-02-28 21:30:00,1.0582196583452226
2025-02-28 22:00:00,0.9241783184208299
2025-02-28 22:30:00,0.9083546317754898
2025-02-28 23:00:00,1.0171501479529275
2025-02-28 23:30:00,1.2254877023375343
2025-03-01 00:00:00,1.4819242085812163
2025-03-01 00:30:00,1.7206748767876412
